page_path,page_title,original_video_title_or_filename,youtube_search_query,candidate_title,candidate_url,candidate_channel,candidate_duration,original_mp4_url
/index.html?p=1730.html,Một cuộc diệt chủng lạnh đang diễn ra tại Trung Quốc,diet chung,diet chung Pháp Luân Công,Tóm tắt nhanh về Pháp Luân Công trong 5 phút,https://www.youtube.com/watch?v=rCEitbeDUH0,KIẾN THỨC THÚ VỊ Official,332.0,https://dieukydieu.tv/wp-content/uploads/2020/video/diet-chung.mp4
/index.html?p=1748.html,Pháp Luân Đại Pháp – Lời giải cho cuộc sống,loi giai cuoc song,loi giai cuoc song Pháp Luân Công,Pháp Luân Đại Pháp - Lời giải cho cuộc sống (thuyết minh),https://www.youtube.com/watch?v=nRRW9gn7G2M,Phản Bổn Quy Chân,677.0,https://dieukydieu.tv/wp-content/uploads/2020/video/loi-giai-cuoc-song.mp4
/index.html?p=1751.html,Tập Pháp Luân Công có hợp pháp tại Việt Nam? (Phần 1),tap phap luan cong co hop phap,tap phap luan cong co hop phap,Tập Pháp Luân Công Có Hợp Pháp tại Việt Nam ? | Phần I,https://www.youtube.com/watch?v=iHnWDLwMOsA,Chân Tướng,712.0,https://dieukydieu.tv/wp-content/uploads/2020/video/tap-phap-luan-cong-co-hop-phap.mp4
/index.html?p=1754.html,Tập Pháp Luân Công Có Hợp Pháp tại Việt Nam ? | Phần II,tap phap luan cong co hop phap 2,tap phap luan cong co hop phap 2,Tập Pháp Luân Công Có Hợp Pháp tại Việt Nam ? | Phần II,https://www.youtube.com/watch?v=LsDr4bw4M60,Chân Tướng,877.0,https://dieukydieu.tv/wp-content/uploads/2020/video/tap-phap-luan-cong-co-hop-phap-2.mp4
/index.html?p=1765.html,Ca sĩ – NSND Trung Đức trải nghiệm về Pháp Luân Công,NSND trung duc,NSND trung duc Pháp Luân Công,"Ca sỹ, NSND Trung Đức Chia Sẻ Về Pháp Luân Công",https://www.youtube.com/watch?v=7D3zxlmUgug,Về Nhà,171.0,https://dieukydieu.tv/wp-content/uploads/2020/video/NSND-trung-duc.mp4
/index.html?p=1771.html,Nghệ sĩ múa Lê Vi : Tôi may mắn khi tìm thấy ánh sáng chân lý của cuộc đời,le vy,Nghệ sĩ múa Lê Vi : Tôi may mắn khi tìm thấy ánh sáng chân lý của cuộc đời Pháp Luân Công,Nghệ sĩ múa Lê Vi: Tôi may mắn khi tìm thấy ánh sáng chân lý của cuộc đời.,https://www.youtube.com/watch?v=iShjqy8jmgY,Hỗ Trợ và Chia Sẻ học Pháp Luân Công,355.0,https://dieukydieu.tv/wp-content/uploads/2020/video/le-vy.mp4
/index.html?p=1793.html,Phóng sự: Pháp Luân Công tại Cần Thơ,can tho,can tho Pháp Luân Công,Phóng sự: Pháp Luân Công tại Cần Thơ,https://www.youtube.com/watch?v=1tNN8lIYFUo,Info Falun Dafa,489.0,https://dieukydieu.tv/wp-content/uploads/2020/03/can-tho.mp4
/index.html?p=2104.html,Khúc Hát Nhớ Con,khc hat nho con,khc hat nho con Pháp Luân Công,Khúc hát nhớ con (Của người mẹ trong tù gửi con gái yêu),https://www.youtube.com/watch?v=QYDz5bWX6AE,Bách Thông,704.0,https://dieukydieu.tv/wp-content/uploads/2020/04/khc-hat-nho-con.mp4
/index.html?p=3706.html,Pháp Luân Công tại Kiên Giang,Clip PLC tại Kiên Giang 2,Clip PLC tại Kiên Giang 2 Pháp Luân Công,Pháp Luân Công - Bài giảng công pháp số 2,https://www.youtube.com/watch?v=GViwMYV_5sM,Ánh Sáng Pháp Luân,5683.0,https://dieukydieu.tv/wp-content/uploads/2020/04/Clip-PLC-ta%CC%A3i-Kie%CC%82n-Giang-2.mp4
/index.html?p=3735.html,Ngạo tuyết xuân mai,ngao tuyet xuan mai,ngao tuyet xuan mai Pháp Luân Công,Ngạo Tuyết Xuân Mai (Hòa Tấu) | 1 hour | 432 Hz | Thiên Âm Nhã Nhạc - Số 08,https://www.youtube.com/watch?v=fCjZBwqsu9g,Chánh Kiến Việt Ngữ,3512.0,https://dieukydieu.tv/wp-content/uploads/2020/05/ngao-tuyet-xuan-mai.mp4
/index.html?p=3744.html,Vè lời sấm,loi sam,loi sam Pháp Luân Công,Pháp Luân Công-bài giảng số 4  Sư Phụ Lý Hồng Chí,https://www.youtube.com/watch?v=b2q9Giiozz0, 真 善 忍 © Chân Thiện Nhẫn,5109.0,https://dieukydieu.tv/wp-content/uploads/2020/06/loi-sam.mp4
/index.html?p=3747.html,Vè kính thần,kính Thần 2,kính Thần 2 Pháp Luân Công,Pháp Luân Công-bài giảng số 2  Sư Phụ Lý Hồng Chí,https://www.youtube.com/watch?v=iMSW1f0LCLo, 真 善 忍 © Chân Thiện Nhẫn,5599.0,https://dieukydieu.tv/wp-content/uploads/2020/06/ki%CC%81nh-Tha%CC%82%CC%80n-2.mp4
/index.html?p=3760.html,Mau tỉnh lại,mau tinh lai,mau tinh lai Pháp Luân Công,Trung Quốc đàn áp Pháp Luân Công: Sự thật đang dần sáng tỏ - Nguyện Ước,https://www.youtube.com/watch?v=Un439IXK6Gs,Nguyện Ước,471.0,https://dieukydieu.tv/wp-content/uploads/2020/06/mau-tinh-lai.mp4
